,initials,line,condition,replicate,sex,individual,Mutant
357,MP,E112,F15,1,F,1,0
358,MP,E112,F15,1,F,2,0
359,MP,E112,F15,1,F,3,0
360,MP,E112,F15,1,F,4,0
361,MP,E112,F15,1,F,5,0
362,MP,E112,F15,1,F,6,0
363,MP,E112,F15,1,M,1,0
364,MP,E112,F15,2,F,1,0
365,MP,E112,F15,2,F,2,0
366,MP,E112,F15,2,M,1,0
367,MP,E112,F15,2,M,2,0
368,MP,E112,F15,3,F,1,0
369,MP,E112,F15,3,M,1,0
370,MP,E112,F15,3,M,2,0
371,MP,E112,F15,4,F,1,0
372,MP,E112,F15,4,F,2,0
373,MP,E112,F15,4,F,3,0
374,MP,E112,F15,4,M,1,0
375,MP,E112,F15,4,M,2,0
376,MP,E112,F15,5,F,1,0
377,MP,E112,F15,5,F,2,0
378,MP,E112,F15,5,F,3,0
379,MP,E112,F15,5,M,1,0
380,MP,E112,F15,5,M,2,0
381,MP,E112,F15,5,M,3,0
382,MP,E112,F15,6,F,1,0
383,MP,E112,F15,6,F,2,0
384,MP,E112,F15,6,M,1,0
385,MP,E112,F15,6,M,2,0
386,MP,E112,T18,1,F,1,0
387,MP,E112,T18,1,F,2,0
388,MP,E112,T18,1,F,3,0
389,MP,E112,T18,1,F,4,0
390,MP,E112,T18,1,F,5,0
391,MP,E112,T18,1,F,6,0
392,MP,E112,T18,1,F,7,0
393,MP,E112,T18,1,M,1,0
394,MP,E112,T18,1,M,2,0
395,MP,E112,T18,1,M,3,0
396,MP,E112,T18,1,M,4,0
397,MP,E112,T18,1,M,5,0
398,MP,E112,T18,1,M,6,0
399,MP,E112,T18,1,M,7,0
400,MP,E112,T18,1,M,8,0
401,MP,E112,T18,1,M,9,0
402,MP,E112,T18,1,M,10,0
403,MP,E112,T18,2,F,1,0
404,MP,E112,T18,2,F,2,0
405,MP,E112,T18,2,F,3,0
406,MP,E112,T18,2,F,4,0
407,MP,E112,T18,2,F,5,0
408,MP,E112,T18,2,F,6,0
409,MP,E112,T18,2,F,7,0
410,MP,E112,T18,2,F,8,0
411,MP,E112,T18,2,F,9,1
412,MP,E112,T18,2,F,10,0
413,MP,E112,T18,2,F,11,0
414,MP,E112,T18,2,F,12,0
415,MP,E112,T18,2,F,13,0
416,MP,E112,T18,2,F,14,0
417,MP,E112,T18,2,F,15,0
418,MP,E112,T18,2,M,1,0
419,MP,E112,T18,2,M,2,1
420,MP,E112,T18,2,M,3,0
421,MP,E112,T18,2,M,4,0
422,MP,E112,T18,2,M,5,0
423,MP,E112,T18,2,M,6,0
424,MP,E112,T18,2,M,7,0
425,MP,E112,T18,3,F,1,0
426,MP,E112,T18,3,F,2,0
427,MP,E112,T18,3,F,3,0
428,MP,E112,T18,3,F,4,0
429,MP,E112,T18,3,F,5,0
430,MP,E112,T18,3,F,6,0
431,MP,E112,T18,3,F,7,0
432,MP,E112,T18,3,F,8,0
433,MP,E112,T18,3,F,9,0
434,MP,E112,T18,3,M,1,0
435,MP,E112,T18,3,M,2,0
436,MP,E112,T18,3,M,3,0
437,MP,E112,T18,3,M,4,0
438,MP,E112,T18,3,M,5,0
439,MP,E112,T18,3,M,6,0
440,MP,E112,T18,3,M,7,0
441,MP,E112,T18,3,M,8,0
442,MP,E112,T18,3,M,9,0
443,MP,E112,T18,3,M,10,0
444,MP,E112,T18,3,M,11,0
