Wing ID,Wing Area,,75px sq trichome number,75px sq trichome density
MP_M_Z_311N_01.tif,A1,1,59,2.622222222
MP_M_Z_311N_01.tif,A2,2,57,2.533333333
MP_M_Z_311N_01.tif,B1,1,71,3.155555556
MP_M_Z_311N_01.tif,B2,2,68,3.022222222
MP_M_Z_311N_01.tif,B3,3,68,3.022222222
MP_M_Z_311N_01.tif,C1,1,64,2.844444444
MP_M_Z_311N_01.tif,C2,2,69,3.066666667
MP_M_Z_311N_01.tif,C3,3,84,3.733333333
MP_M_Z_311N_01.tif,E1,1,74,3.288888889
MP_M_Z_311N_01.tif,E2,2,71,3.155555556
MP_M_Z_311N_01.tif,F1,1,68,3.022222222
MP_M_Z_311N_01.tif,F2,2,72,3.2
MP_M_Z_311N_01.tif,F3,3,72,3.2
MP_M_Z_311N_01.tif,G1,1,69,3.066666667
MP_M_Z_311N_01.tif,G2,2,55,2.444444444
MP_M_Z_311N_01.tif,G3,3,65,2.888888889
MP_M_Z_311N_02.tif,A1,1,57,2.533333333
MP_M_Z_311N_02.tif,A2,2,70,3.111111111
MP_M_Z_311N_02.tif,B1,1,74,3.288888889
MP_M_Z_311N_02.tif,B2,2,71,3.155555556
MP_M_Z_311N_02.tif,B3,3,68,3.022222222
MP_M_Z_311N_02.tif,C1,1,71,3.155555556
MP_M_Z_311N_02.tif,C2,2,74,3.288888889
MP_M_Z_311N_02.tif,C3,3,77,3.422222222
MP_M_Z_311N_02.tif,E1,1,80,3.555555556
MP_M_Z_311N_02.tif,E2,2,74,3.288888889
MP_M_Z_311N_02.tif,F1,1,73,3.244444444
MP_M_Z_311N_02.tif,F2,2,64,2.844444444
MP_M_Z_311N_02.tif,F3,3,72,3.2
MP_M_Z_311N_02.tif,G1,1,100,4.444444444
MP_M_Z_311N_02.tif,G2,2,53,2.355555556
MP_M_Z_311N_02.tif,G3,3,55,2.444444444
MP_M_Z_311N_03.tif,A1,1,56,2.488888889
MP_M_Z_311N_03.tif,A2,2,60,2.666666667
MP_M_Z_311N_03.tif,B1,1,74,3.288888889
MP_M_Z_311N_03.tif,B2,2,71,3.155555556
MP_M_Z_311N_03.tif,B3,3,69,3.066666667
MP_M_Z_311N_03.tif,C1,1,61,2.711111111
MP_M_Z_311N_03.tif,C2,2,77,3.422222222
MP_M_Z_311N_03.tif,C3,3,71,3.155555556
MP_M_Z_311N_03.tif,E1,1,85,3.777777778
MP_M_Z_311N_03.tif,E2,2,66,2.933333333
MP_M_Z_311N_03.tif,F1,1,62,2.755555556
MP_M_Z_311N_03.tif,F2,2,65,2.888888889
MP_M_Z_311N_03.tif,F3,3,80,3.555555556
MP_M_Z_311N_03.tif,G1,1,81,3.6
MP_M_Z_311N_03.tif,G2,2,54,2.4
