CPFile	File	O1x	O1y	O2x	O2y	Perp	Date	Time	Tags	Scale	Sex	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24	x25	y25	x26	y26	x27	y27	x28	y28	x29	y29	x30	y30	x31	y31	x32	y32	x33	y33	x34	y34	x35	y35	x36	y36	x37	y37	x38	y38	x39	y39	x40	y40	x41	y41	x42	y42	x43	y43	x44	y44	x45	y45	x46	y46	x47	y47	x48	y48	CS
wing1000	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_001.tif	43	82.5	37	122	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04710808	 -0.11476862	 -0.21557068	 -0.03413117	 -0.23303414	  0.00713460	 -0.16002412	  0.08377715	  0.11508717	  0.06365835	  0.18937323	  0.05345808	  0.00683188	 -0.05953251	 -0.00355952	 -0.01444629	  0.08752494	  0.00330513	  0.08329553	  0.02134553	  0.16247750	  0.01867728	  0.16910755	 -0.00641628	  0.19802687	 -0.01404557	  0.18227132	 -0.06878740	  0.14929474	 -0.10726826	  0.10076786	 -0.12450665	  0.04936975	 -0.12793809	 -0.00109160	 -0.12338351	 -0.09203896	 -0.10336173	 -0.13750695	 -0.08747419	 -0.18040430	 -0.06491983	 -0.22951108	 -0.01146658	 -0.21638735	  0.04531042	 -0.18817478	  0.06926781	 -0.10406436	  0.09779274	 -0.05682381	  0.10050266	 -0.00745450	  0.09778863	  0.05543982	  0.08851981	  0.15038847	  0.03608069	  0.19230111	  0.03061879	 -0.02367123	 -0.08296277	  0.05573795	 -0.03846622	  0.11078141	 -0.02027025	 -0.14792318	 -0.02186036	 -0.07868682	 -0.01493816	  0.04101277	 -0.00648620	  0.13987599	  0.00375552	 -0.17634127	  0.02410346	 -0.11966829	  0.03078458	 -0.05310488	  0.03398822	  0.02112613	  0.03129582	  0.12098115	  0.02109012	 -0.11046137	  0.07463395	 -0.04931181	  0.07085465	  0.01464372	  0.06321628	  0.08025874	  0.04700912	  0.14985712	  0.06561092	  0.00609035	 -0.03614966	   7.704
wing1001	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_002.tif	41.5	85	35.5	124	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04840951	 -0.11502476	 -0.21582878	 -0.03381351	 -0.23309818	  0.00886771	 -0.16328514	  0.08146133	  0.11803850	  0.06245400	  0.19266038	  0.05228381	  0.00583016	 -0.06040090	  0.00695656	 -0.01131161	  0.08706977	  0.00069546	  0.08436103	  0.02219175	  0.15686886	  0.01922501	  0.17029057	 -0.00555180	  0.19879745	 -0.01517595	  0.18246147	 -0.06952083	  0.14755629	 -0.10588591	  0.09975183	 -0.12089277	  0.04916521	 -0.12584713	 -0.00113950	 -0.12293530	 -0.09217167	 -0.10429263	 -0.13764631	 -0.08849866	 -0.18041660	 -0.06567785	 -0.22922784	 -0.01186208	 -0.21658395	  0.04540322	 -0.18791454	  0.06892398	 -0.10377165	  0.09626715	 -0.05676112	  0.09872132	 -0.00761328	  0.09587882	  0.05505706	  0.08704413	  0.15024306	  0.03632619	  0.19491917	  0.02745477	 -0.02458030	 -0.08308626	  0.05575553	 -0.03831842	  0.11130173	 -0.01961978	 -0.14650228	 -0.02131527	 -0.07697253	 -0.01446814	  0.04345433	 -0.00640452	  0.14233151	  0.00427399	 -0.17538233	  0.02409598	 -0.11972824	  0.03172244	 -0.05408752	  0.03521625	  0.01913166	  0.03172141	  0.11744273	  0.02186461	 -0.11308134	  0.07664274	 -0.05255739	  0.07139220	  0.01084769	  0.06364176	  0.07605061	  0.04825773	  0.15288845	  0.06389286	  0.00752837	 -0.03601654	   7.653
wing1002	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_003.tif	42.5	82.5	39.5	120	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04495746	 -0.11537396	 -0.21458805	 -0.03439044	 -0.23355501	  0.00913723	 -0.15667465	  0.08484574	  0.11936542	  0.06503700	  0.19466914	  0.05263094	  0.00096039	 -0.06376863	 -0.00148264	 -0.01418417	  0.08854103	  0.00263888	  0.08510211	  0.02154953	  0.15444624	  0.02270800	  0.16944775	 -0.00484539	  0.19585270	 -0.01882256	  0.18459751	 -0.07040333	  0.14802513	 -0.10549083	  0.10042577	 -0.12159685	  0.04961592	 -0.12635765	 -0.00079381	 -0.12294535	 -0.09190968	 -0.10387148	 -0.13741459	 -0.08794852	 -0.18016501	 -0.06496445	 -0.22929228	 -0.01119558	 -0.21716610	  0.04701404	 -0.18805696	  0.07067454	 -0.10309457	  0.09590951	 -0.05613747	  0.09791925	 -0.00699430	  0.09533141	  0.05585068	  0.08744109	  0.15265254	  0.03938087	  0.19549914	  0.03202206	 -0.02357968	 -0.08303102	  0.05626868	 -0.03913116	  0.11088232	 -0.02002445	 -0.14683127	 -0.02236167	 -0.07744990	 -0.01672148	  0.04267565	 -0.00803908	  0.14110844	  0.00439265	 -0.17557626	  0.02362033	 -0.12022698	  0.03104339	 -0.05500841	  0.03476052	  0.01780046	  0.03242426	  0.11578263	  0.02177868	 -0.11035217	  0.07536863	 -0.05133684	  0.07157030	  0.01009069	  0.06281639	  0.07340123	  0.04812912	  0.15445785	  0.06460780	  0.00512468	 -0.03928413	   7.660
wing1003	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_004.tif	52	81	46.5	124.5	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04338001	 -0.11612472	 -0.21708092	 -0.03293244	 -0.23391287	  0.01131809	 -0.15484752	  0.08433175	  0.11463461	  0.06917326	  0.19151877	  0.05434721	  0.00757514	 -0.06265999	  0.00286359	 -0.01247934	  0.08836346	  0.00286347	  0.08136992	  0.02148851	  0.15692743	  0.02331920	  0.17251194	 -0.00372159	  0.19672221	 -0.02708016	  0.18232842	 -0.07140943	  0.14683172	 -0.10693807	  0.09925765	 -0.12278979	  0.04848915	 -0.12728156	 -0.00182265	 -0.12342254	 -0.09276379	 -0.10395829	 -0.13821874	 -0.08797048	 -0.18105405	 -0.06506723	 -0.23045574	 -0.01098990	 -0.21614341	  0.04665367	 -0.18708311	  0.06962902	 -0.10276039	  0.09561429	 -0.05581358	  0.09800145	 -0.00663600	  0.09550840	  0.05628830	  0.08756983	  0.15344366	  0.03941709	  0.19363604	  0.03229429	 -0.02032335	 -0.08418870	  0.05880689	 -0.03825771	  0.11365712	 -0.01838465	 -0.14847605	 -0.02341144	 -0.07942958	 -0.01730791	  0.04047167	 -0.00706987	  0.13841918	  0.00732142	 -0.17723135	  0.02464862	 -0.12122345	  0.02974932	 -0.05565029	  0.03264213	  0.01732598	  0.02997169	  0.11611572	  0.02240186	 -0.10811834	  0.07487257	 -0.04907338	  0.07080508	  0.01230072	  0.06173311	  0.07578590	  0.04781332	  0.15061778	  0.06766559	  0.00523559	 -0.03770841	   7.701
wing1004	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_005.tif	46.5	82.5	40	123	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04534417	 -0.11558586	 -0.21536770	 -0.03222235	 -0.23246162	  0.00910548	 -0.15962977	  0.08364679	  0.11256710	  0.06923718	  0.18967298	  0.05567313	  0.00339252	 -0.06306453	  0.00006370	 -0.01528353	  0.08859279	  0.00260068	  0.08812131	  0.02170793	  0.16023842	  0.02194163	  0.17094938	 -0.00623634	  0.19602004	 -0.02177172	  0.18446045	 -0.07180999	  0.14809802	 -0.10819148	  0.09975808	 -0.12439575	  0.04857261	 -0.12810961	 -0.00178567	 -0.12355937	 -0.09269975	 -0.10381561	 -0.13797027	 -0.08752879	 -0.18028829	 -0.06418579	 -0.22847742	 -0.01069149	 -0.21691691	  0.04611216	 -0.18837213	  0.07007923	 -0.10359685	  0.09574031	 -0.05662291	  0.09774530	 -0.00747568	  0.09512347	  0.05538238	  0.08719692	  0.15215736	  0.03896202	  0.19137167	  0.03494624	 -0.02313983	 -0.08332897	  0.05699410	 -0.03925868	  0.11212194	 -0.02082488	 -0.14716059	 -0.02166538	 -0.07827471	 -0.01592916	  0.04129552	 -0.00755773	  0.13906468	  0.00536046	 -0.17432803	  0.02505096	 -0.11802615	  0.03130129	 -0.05199400	  0.03405103	  0.02159691	  0.03150260	  0.12083960	  0.02212695	 -0.11142692	  0.07478224	 -0.05081882	  0.07162346	  0.01226685	  0.06265231	  0.07734268	  0.04796250	  0.14854297	  0.06803066	  0.00269415	 -0.03924591	   7.751
wing1005	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_006.tif	44.5	84	39.5	122.5	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04523136	 -0.11688777	 -0.21486886	 -0.03403359	 -0.23179666	  0.00793329	 -0.16684982	  0.08012265	  0.11951081	  0.06109615	  0.18959163	  0.05187073	  0.00931698	 -0.06034490	  0.00342797	 -0.01362573	  0.08535802	  0.00292553	  0.08441449	  0.02164751	  0.16321396	  0.02065518	  0.17066438	 -0.00287635	  0.19492501	 -0.02137264	  0.18025272	 -0.06987084	  0.14516119	 -0.10516921	  0.09825923	 -0.12241686	  0.04751540	 -0.12777351	 -0.00287373	 -0.12430946	 -0.09366799	 -0.10466904	 -0.13883526	 -0.08813710	 -0.18108871	 -0.06457361	 -0.22887814	 -0.01051212	 -0.21516126	  0.04487987	 -0.18743687	  0.06867774	 -0.10410439	  0.09776390	 -0.05700775	  0.10092705	 -0.00771312	  0.09866432	  0.05526595	  0.08994766	  0.14982149	  0.03679878	  0.19135670	  0.02763102	 -0.02084397	 -0.08536145	  0.05694130	 -0.03718948	  0.11209248	 -0.01768089	 -0.14669982	 -0.02195271	 -0.07821585	 -0.01455047	  0.04080942	 -0.00718752	  0.13804028	  0.00618469	 -0.17408483	  0.02320409	 -0.11768173	  0.03054692	 -0.05130904	  0.03397497	  0.02279709	  0.03262702	  0.12243647	  0.02184334	 -0.11503514	  0.07668419	 -0.05271913	  0.07222094	  0.01254838	  0.06416283	  0.07936335	  0.04780646	  0.15348475	  0.06697921	  0.00553399	 -0.03728079	   7.588
wing1006	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_007.tif	52	89.5	49.5	128	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.05212384	 -0.11647251	 -0.21482716	 -0.03393157	 -0.23083064	  0.00896971	 -0.16133120	  0.08253981	  0.11552043	  0.06798400	  0.19118775	  0.05257653	  0.00794973	 -0.05944251	  0.01179245	 -0.01238614	  0.09159799	  0.00464530	  0.08373721	  0.02179534	  0.15673419	  0.02050506	  0.17151969	 -0.00709891	  0.19656202	 -0.02014038	  0.18065154	 -0.07017413	  0.14691451	 -0.10728967	  0.09918082	 -0.12445448	  0.04801897	 -0.12912924	 -0.00263641	 -0.12556979	 -0.09380418	 -0.10554554	 -0.13926927	 -0.08913127	 -0.18177668	 -0.06551487	 -0.22774640	 -0.01040308	 -0.21593935	  0.04466659	 -0.18819996	  0.06872770	 -0.10423135	  0.09663194	 -0.05709394	  0.09943036	 -0.00773799	  0.09719843	  0.05539920	  0.08907314	  0.15223924	  0.03939566	  0.19291596	  0.02919288	 -0.02622432	 -0.08485232	  0.05490762	 -0.03873064	  0.11149319	 -0.01979218	 -0.14499991	 -0.02224606	 -0.07644651	 -0.01537033	  0.04262269	 -0.00707479	  0.13995204	  0.00628783	 -0.17362637	  0.02401499	 -0.11830268	  0.03126446	 -0.05315726	  0.03492116	  0.01968632	  0.03339479	  0.11746205	  0.02214713	 -0.11264993	  0.07470664	 -0.05228463	  0.07228826	  0.01051251	  0.06293489	  0.07522707	  0.04811267	  0.15122652	  0.06715872	  0.01022827	 -0.03581360	   7.539
wing1007	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_008.tif	48	58.5	38.5	94.5	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.05178287	 -0.11581242	 -0.21405454	 -0.03525495	 -0.23190826	  0.00987588	 -0.15788558	  0.08515218	  0.11446879	  0.06867522	  0.18932420	  0.05365454	  0.00704734	 -0.06179342	  0.00818382	 -0.01164127	  0.08736188	  0.00335636	  0.08152425	  0.02127521	  0.16092821	  0.02060408	  0.17028719	 -0.00561301	  0.19561098	 -0.01617376	  0.18342911	 -0.07132135	  0.14820261	 -0.10882548	  0.09962809	 -0.12475507	  0.04836506	 -0.12925647	 -0.00230270	 -0.12535651	 -0.09322410	 -0.10451923	 -0.13853013	 -0.08800241	 -0.18117117	 -0.06494554	 -0.22839219	 -0.01077583	 -0.21716690	  0.04549918	 -0.18919951	  0.07010089	 -0.10427362	  0.09667668	 -0.05712113	  0.09883110	 -0.00782763	  0.09628681	  0.05523127	  0.08848868	  0.15106300	  0.03591256	  0.19134135	  0.03124976	 -0.02541305	 -0.08545743	  0.05490217	 -0.03953526	  0.11032003	 -0.01842281	 -0.14512793	 -0.02322751	 -0.07596431	 -0.01652915	  0.04350723	 -0.00468759	  0.14183304	  0.00921824	 -0.17666795	  0.02607402	 -0.12018281	  0.03110856	 -0.05407654	  0.03389854	  0.01956106	  0.03066770	  0.11892550	  0.02244226	 -0.11015006	  0.07526657	 -0.04965831	  0.07131988	  0.01310033	  0.06120000	  0.07792969	  0.04617885	  0.14937407	  0.06604779	  0.01063100	 -0.03715503	   7.555
wing1008	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_009.tif	31	81	25	123.5	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04386706	 -0.11635563	 -0.21363428	 -0.03392806	 -0.22959312	  0.00896297	 -0.16592435	  0.08195896	  0.11482377	  0.06778728	  0.19101870	  0.05259051	  0.00672062	 -0.06266319	  0.00466582	 -0.01256209	  0.08693964	  0.00296294	  0.08261099	  0.02255524	  0.15430370	  0.02088974	  0.17274342	 -0.00440841	  0.19641891	 -0.02539935	  0.18465925	 -0.07320846	  0.14787365	 -0.10923693	  0.09939171	 -0.12314138	  0.04860908	 -0.12670200	 -0.00170765	 -0.12323348	 -0.09299810	 -0.10480886	 -0.13868209	 -0.08900180	 -0.18126440	 -0.06534382	 -0.22671561	 -0.00962383	 -0.21480355	  0.04563677	 -0.18730686	  0.07023990	 -0.10276992	  0.09812273	 -0.05545755	  0.10018189	 -0.00610407	  0.09701587	  0.05687101	  0.08801679	  0.15342897	  0.03824602	  0.19274966	  0.02759201	 -0.02166220	 -0.08358813	  0.05868793	 -0.03887020	  0.11359432	 -0.01870065	 -0.14527080	 -0.02275216	 -0.07635141	 -0.01629309	  0.04278210	 -0.00554996	  0.14120203	  0.00566201	 -0.17453223	  0.02464312	 -0.11945059	  0.03042034	 -0.05486867	  0.03413489	  0.01726139	  0.03131384	  0.11428099	  0.02221744	 -0.11571673	  0.07816030	 -0.05517615	  0.07295444	  0.00816695	  0.06497660	  0.07344564	  0.05008089	  0.15046584	  0.06602907	  0.01014129	 -0.03798109	   7.884
wing1009	C:\Waiting_wings\Maria\splininghome\Batch1\african_f_16n_010.tif	41	84.5	36.5	122	MP	3_7_2016	15:23:49	DMel	0.014	M	 -0.04522341	 -0.11637285	 -0.21710257	 -0.03363188	 -0.23420154	  0.01156675	 -0.15998235	  0.08304676	  0.11378666	  0.06632052	  0.19063262	  0.05363393	  0.00825112	 -0.06030575	  0.00755980	 -0.01284145	  0.08720977	  0.00200156	  0.08330316	  0.02279360	  0.15917341	  0.02110747	  0.17152220	 -0.00711774	  0.19673332	 -0.01777834	  0.18155211	 -0.07018936	  0.14631841	 -0.10592902	  0.09892168	 -0.12229172	  0.04818823	 -0.12741319	 -0.00218005	 -0.12397121	 -0.09296294	 -0.10426183	 -0.13828348	 -0.08821202	 -0.18104562	 -0.06552301	 -0.23044734	 -0.01209165	 -0.21747990	  0.04566680	 -0.18868239	  0.06921997	 -0.10425553	  0.09565263	 -0.05731325	  0.09775067	 -0.00824688	  0.09479342	  0.05437908	  0.08620296	  0.15090590	  0.03837716	  0.19281099	  0.02813484	 -0.02218818	 -0.08383679	  0.05734503	 -0.03841767	  0.11261067	 -0.01976691	 -0.14718206	 -0.02163735	 -0.07756730	 -0.01484404	  0.04321151	 -0.00696391	  0.14186909	  0.00739718	 -0.17602732	  0.02501598	 -0.11986292	  0.03183489	 -0.05379397	  0.03497286	  0.01987866	  0.03232258	  0.11900004	  0.02145657	 -0.10992396	  0.07588964	 -0.04972291	  0.07032345	  0.01332937	  0.06249497	  0.07788857	  0.04639405	  0.14960305	  0.06554394	  0.00769141	 -0.03651744	   7.726
