CPFile	File	O1x	O1y	O2x	O2y	Perp	Date	Time	Tags	Scale	Sex	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24	x25	y25	x26	y26	x27	y27	x28	y28	x29	y29	x30	y30	x31	y31	x32	y32	x33	y33	x34	y34	x35	y35	x36	y36	x37	y37	x38	y38	x39	y39	x40	y40	x41	y41	x42	y42	x43	y43	x44	y44	x45	y45	x46	y46	x47	y47	x48	y48	CS
wing1000	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_1_f_l_09.tif	41.5	122	41.5	156	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05282246	 -0.11309324	 -0.21204292	 -0.03808384	 -0.23060649	  0.02153880	 -0.15510665	  0.08851598	  0.12025954	  0.06162854	  0.19674203	  0.05585598	  0.00596528	 -0.05937599	 -0.00132417	 -0.01674665	  0.08303245	 -0.00123282	  0.08123525	  0.01958358	  0.15595515	  0.02280841	  0.17061638	 -0.00663260	  0.19650459	 -0.02100722	  0.18273952	 -0.07488036	  0.14522538	 -0.10778517	  0.09659515	 -0.12370256	  0.04545213	 -0.12842828	 -0.00518728	 -0.12349774	 -0.09526566	 -0.10055320	 -0.13881040	 -0.08434786	 -0.18178769	 -0.06222375	 -0.23038096	 -0.00953196	 -0.21526784	  0.04788884	 -0.18722583	  0.07301099	 -0.10081325	  0.09882251	 -0.05351018	  0.09891624	 -0.00474823	  0.09389343	  0.05729408	  0.08358538	  0.15591798	  0.03811046	  0.19783095	  0.03038907	 -0.02658299	 -0.08260347	  0.05601125	 -0.03963335	  0.11205397	 -0.02171918	 -0.14813865	 -0.02218004	 -0.07973591	 -0.01709557	  0.04152595	 -0.00851598	  0.14057573	  0.00559289	 -0.17410120	  0.02616140	 -0.12009853	  0.02915358	 -0.05622541	  0.03110523	  0.01601932	  0.02999957	  0.11564744	  0.02103907	 -0.10773827	  0.07903917	 -0.04763898	  0.07140257	  0.01450578	  0.06019498	  0.08104624	  0.04550963	  0.15555857	  0.06755231	  0.00084983	 -0.03842775	   5.503
wing1001	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_1_f_l_14.tif	54.5	123.5	65	156	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05339526	 -0.11230943	 -0.21232039	 -0.03888070	 -0.22987544	  0.01524852	 -0.15422949	  0.08895140	  0.11920406	  0.06204267	  0.19747971	  0.05428588	  0.00380273	 -0.05894988	 -0.00433544	 -0.01745093	  0.07840835	 -0.00117388	  0.07369797	  0.01949729	  0.16052481	  0.01973221	  0.17062516	 -0.00854876	  0.19984126	 -0.02463479	  0.18181803	 -0.07305785	  0.14523865	 -0.10606505	  0.09659480	 -0.12028223	  0.04590879	 -0.12418736	 -0.00446228	 -0.12058236	 -0.09574176	 -0.10242318	 -0.14026992	 -0.08773776	 -0.18369441	 -0.06479244	 -0.22891525	 -0.00864548	 -0.21363596	  0.04692242	 -0.18612129	  0.07174662	 -0.10114386	  0.10174196	 -0.05333497	  0.10293723	 -0.00425647	  0.09764314	  0.05778960	  0.08598326	  0.15544969	  0.03718974	  0.19822843	  0.02926455	 -0.02798864	 -0.08070969	  0.05489780	 -0.03742050	  0.11147774	 -0.02096656	 -0.14874886	 -0.02400668	 -0.08035495	 -0.01733404	  0.04102840	 -0.00872963	  0.14057046	  0.00432738	 -0.17484056	  0.02495169	 -0.12051390	  0.03051127	 -0.05589812	  0.03272716	  0.01722943	  0.03033823	  0.11783582	  0.02065106	 -0.10639342	  0.07853925	 -0.04540888	  0.07112959	  0.01752253	  0.05928597	  0.08477738	  0.04348570	  0.15574933	  0.06795080	  0.00017859	 -0.03819584	   5.554
wing1002	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_2_f_l_02.tif	39	129.5	43.5	162	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05255955	 -0.11281321	 -0.21235171	 -0.03854746	 -0.23151364	  0.01782345	 -0.14964620	  0.09030141	  0.12234181	  0.06203856	  0.19666885	  0.05400206	  0.00703756	 -0.05733563	 -0.00225835	 -0.01697132	  0.08116418	 -0.00037288	  0.07475073	  0.01979591	  0.15542545	  0.02155026	  0.16923139	 -0.00889184	  0.19791696	 -0.02091032	  0.18179373	 -0.07304498	  0.14576116	 -0.10691706	  0.09702224	 -0.12230280	  0.04599279	 -0.12574527	 -0.00448745	 -0.12138941	 -0.09573081	 -0.10243877	 -0.14006891	 -0.08729364	 -0.18321454	 -0.06423105	 -0.22997625	 -0.00927576	 -0.21547708	  0.04782009	 -0.18714086	  0.07247159	 -0.10121223	  0.10001779	 -0.05363862	  0.10098893	 -0.00459729	  0.09629147	  0.05770211	  0.08584363	  0.15544325	  0.03713545	  0.19922484	  0.02932773	 -0.02699416	 -0.08154058	  0.05521394	 -0.03897779	  0.11119428	 -0.02253673	 -0.14826088	 -0.02277137	 -0.07911748	 -0.01614506	  0.04351715	 -0.00811538	  0.14417141	  0.00445990	 -0.17619356	  0.02489692	 -0.12225325	  0.02923887	 -0.05830963	  0.03165119	  0.01408650	  0.03011127	  0.11383441	  0.02080146	 -0.10433200	  0.07775549	 -0.04506908	  0.07131317	  0.01607813	  0.06011719	  0.08132922	  0.04458731	  0.15679725	  0.06587030	  0.00070420	 -0.03764307	   5.547
wing1003	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_2_f_r_02.tif	130.5	70.5	114.5	100	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.04978127	 -0.11123526	 -0.21389993	 -0.03907363	 -0.23147945	  0.01727117	 -0.15012923	  0.09003445	  0.12179673	  0.05887925	  0.19723953	  0.05407217	  0.00603087	 -0.05807318	 -0.00567570	 -0.01547785	  0.08564158	  0.00170740	  0.08004998	  0.02025994	  0.15814006	  0.02210820	  0.17128975	 -0.00842146	  0.19804423	 -0.02455639	  0.17972881	 -0.07249469	  0.14477050	 -0.10707157	  0.09606535	 -0.12220295	  0.04535296	 -0.12340481	 -0.00467926	 -0.11858960	 -0.09572672	 -0.10162563	 -0.14034738	 -0.08798449	 -0.18406510	 -0.06579280	 -0.23023704	 -0.00974480	 -0.21584452	  0.04782999	 -0.18771682	  0.07300045	 -0.10130227	  0.09870349	 -0.05404060	  0.09912700	 -0.00525667	  0.09463774	  0.05678130	  0.08454230	  0.15442823	  0.03698954	  0.19741411	  0.02985908	 -0.02553377	 -0.07949639	  0.05705853	 -0.03790895	  0.11282350	 -0.02137937	 -0.14959509	 -0.02262569	 -0.08094742	 -0.01658844	  0.04053407	 -0.00809894	  0.14031679	  0.00409294	 -0.17683531	  0.02505958	 -0.12228386	  0.02832177	 -0.05776376	  0.03072664	  0.01527505	  0.03005430	  0.11595551	  0.02074413	 -0.10375614	  0.07777737	 -0.04391393	  0.07153112	  0.01789406	  0.06073746	  0.08372397	  0.04498873	  0.15680405	  0.06644136	 -0.00234829	 -0.03765069	   5.494
wing1004	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_3_f_l_03.tif	52	108.5	51.5	141.5	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05143351	 -0.11243912	 -0.21434367	 -0.03855594	 -0.23273979	  0.01771555	 -0.14918464	  0.08985179	  0.11873763	  0.05905695	  0.19716115	  0.05445766	  0.00498480	 -0.05789768	 -0.00220627	 -0.01682720	  0.08662638	  0.00186229	  0.08209005	  0.01973546	  0.15654132	  0.02211446	  0.17145735	 -0.00786918	  0.19697239	 -0.02248116	  0.18173364	 -0.07376643	  0.14428489	 -0.10600380	  0.09584990	 -0.12069222	  0.04523839	 -0.12488533	 -0.00502532	 -0.12075722	 -0.09586590	 -0.10169964	 -0.14012323	 -0.08698081	 -0.18357703	 -0.06479285	 -0.23157814	 -0.01005468	 -0.21551053	  0.04748801	 -0.18676739	  0.07139629	 -0.10163868	  0.10028838	 -0.05405547	  0.10119550	 -0.00527208	  0.09538558	  0.05634281	  0.08321487	  0.15489207	  0.03799435	  0.19709825	  0.02881852	 -0.02663158	 -0.08069806	  0.05641952	 -0.03833178	  0.11263910	 -0.02149169	 -0.14982302	 -0.02175584	 -0.08060807	 -0.01658781	  0.04196282	 -0.00884346	  0.14212845	  0.00541684	 -0.17583097	  0.02538946	 -0.12153046	  0.02965232	 -0.05715190	  0.03074484	  0.01559899	  0.02874155	  0.11600657	  0.02066584	 -0.10343314	  0.07845634	 -0.04425192	  0.07072613	  0.01691106	  0.05939453	  0.08232510	  0.04428702	  0.15512733	  0.06715414	 -0.00054721	 -0.03779275	   5.369
wing1005	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_3_f_l_05.tif	34	113	35.5	145.5	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05474470	 -0.11249912	 -0.21402932	 -0.03753606	 -0.23265005	  0.01900733	 -0.14930173	  0.08911581	  0.12058693	  0.05995332	  0.19636444	  0.05478383	  0.00499942	 -0.05763244	  0.00055996	 -0.01496918	  0.08276653	  0.00012276	  0.08033177	  0.02017340	  0.15569344	  0.02200631	  0.17152979	 -0.00844810	  0.19957029	 -0.02105797	  0.18117603	 -0.07326364	  0.14503579	 -0.10682097	  0.09645226	 -0.12212869	  0.04556828	 -0.12609868	 -0.00488050	 -0.12203089	 -0.09563593	 -0.10176367	 -0.13972859	 -0.08661388	 -0.18294160	 -0.06430320	 -0.23050944	 -0.01026310	 -0.21687468	  0.04789262	 -0.18778803	  0.07210180	 -0.10158295	  0.09769201	 -0.05433157	  0.09823365	 -0.00554023	  0.09353433	  0.05650538	  0.08329830	  0.15511813	  0.03787877	  0.19840368	  0.03098243	 -0.02887430	 -0.08081899	  0.05513204	 -0.03816893	  0.11216299	 -0.02174302	 -0.14877230	 -0.02023170	 -0.07950500	 -0.01409919	  0.04309182	 -0.00775245	  0.14349822	  0.00474557	 -0.17604088	  0.02587330	 -0.12184512	  0.02981878	 -0.05763463	  0.03157713	  0.01493628	  0.02935708	  0.11510961	  0.02108219	 -0.10375727	  0.07666481	 -0.04469269	  0.06939298	  0.01637619	  0.05857570	  0.08161259	  0.04355414	  0.15575445	  0.06724839	  0.00332522	 -0.03642288	   5.364
wing1006	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_4_f_l_03.tif	77	70.5	71	104.5	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05274011	 -0.11055147	 -0.21494659	 -0.03872905	 -0.23261073	  0.01534064	 -0.14910680	  0.08945274	  0.11909271	  0.06243021	  0.19567672	  0.05471973	  0.00171046	 -0.06088407	 -0.00612181	 -0.01528492	  0.08241371	  0.00183509	  0.08094881	  0.02010078	  0.16256327	  0.02060530	  0.17313823	 -0.00667539	  0.19781909	 -0.02085591	  0.18017719	 -0.07334356	  0.14208970	 -0.10411040	  0.09509580	 -0.12224243	  0.04419302	 -0.12600442	 -0.00573778	 -0.11974891	 -0.09613909	 -0.10028635	 -0.14029113	 -0.08605173	 -0.18386871	 -0.06465198	 -0.23160016	 -0.01002608	 -0.21546454	  0.04693990	 -0.18741011	  0.07144501	 -0.10211997	  0.09854364	 -0.05493245	  0.09933052	 -0.00627908	  0.09453348	  0.05557725	  0.08422463	  0.15308302	  0.03696552	  0.19641129	  0.02880657	 -0.02669052	 -0.08043018	  0.05717607	 -0.03882429	  0.11373468	 -0.02161454	 -0.15076494	 -0.02129648	 -0.08139950	 -0.01598938	  0.04102767	 -0.00815926	  0.14139387	  0.00495349	 -0.17589222	  0.02429776	 -0.12084570	  0.02946109	 -0.05546806	  0.03147101	  0.01850003	  0.02996761	  0.12036899	  0.02160420	 -0.10227358	  0.07625485	 -0.04171952	  0.07054627	  0.02075002	  0.05939011	  0.08730372	  0.04340028	  0.15460321	  0.06711858	 -0.00042541	 -0.03797819	   5.606
wing1007	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_4_f_r_06.tif	69.5	90	61.5	122.5	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05346326	 -0.11212301	 -0.21337924	 -0.03717012	 -0.23080184	  0.01838169	 -0.15068331	  0.08981340	  0.11807763	  0.06306501	  0.19716149	  0.05345764	  0.00606932	 -0.05830945	 -0.00140900	 -0.01581066	  0.07964325	 -0.00007969	  0.07393029	  0.01983332	  0.15840520	  0.02252724	  0.17087960	 -0.00816116	  0.19883227	 -0.01979337	  0.18232642	 -0.07354148	  0.14587632	 -0.10716189	  0.09701036	 -0.12186477	  0.04611232	 -0.12551849	 -0.00428641	 -0.12115547	 -0.09529881	 -0.10183425	 -0.13958287	 -0.08688525	 -0.18286846	 -0.06427076	 -0.22937784	 -0.00924026	 -0.21509641	  0.04781329	 -0.18677658	  0.07247022	 -0.10084359	  0.09980294	 -0.05334291	  0.10048702	 -0.00442997	  0.09546946	  0.05764720	  0.08460623	  0.15547681	  0.03685500	  0.19951068	  0.02862865	 -0.02746503	 -0.08122167	  0.05596746	 -0.03959200	  0.11222301	 -0.02237072	 -0.14897165	 -0.02289118	 -0.07999025	 -0.01731263	  0.04223781	 -0.00838275	  0.14261413	  0.00372974	 -0.17704731	  0.02515197	 -0.12263204	  0.02865850	 -0.05825293	  0.03119888	  0.01458465	  0.02970997	  0.11508809	  0.02141300	 -0.10419205	  0.07762012	 -0.04430962	  0.07079289	  0.01752548	  0.05969329	  0.08350293	  0.04412901	  0.15500834	  0.06723634	 -0.00120968	 -0.03785379	   5.599
wing1008	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_5_f_l_17.tif	54.5	98	48	130.5	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05403925	 -0.11293729	 -0.21407554	 -0.03390356	 -0.23012130	  0.01791382	 -0.15895833	  0.08536110	  0.11919463	  0.06178249	  0.19807703	  0.05256500	  0.00317761	 -0.05831330	 -0.00403485	 -0.01637501	  0.08453528	  0.00111015	  0.07936169	  0.02055808	  0.16080184	  0.02070242	  0.16915900	 -0.00780617	  0.19634684	 -0.01811591	  0.18167285	 -0.07356658	  0.14521945	 -0.10732719	  0.09644735	 -0.12257927	  0.04556091	 -0.12657814	 -0.00485817	 -0.12247494	 -0.09534334	 -0.10187399	 -0.13915674	 -0.08630691	 -0.18179749	 -0.06339881	 -0.22800807	 -0.00957243	 -0.21488588	  0.04679728	 -0.18650893	  0.07105251	 -0.10126436	  0.09886024	 -0.05393026	  0.09993349	 -0.00516021	  0.09508796	  0.05670556	  0.08428333	  0.15424865	  0.03680482	  0.19883473	  0.02895470	 -0.02881902	 -0.08130735	  0.05392595	 -0.03802477	  0.11036245	 -0.02150271	 -0.14880142	 -0.02071229	 -0.07992694	 -0.01575288	  0.04236308	 -0.00881703	  0.14214180	  0.00498632	 -0.17395239	  0.02539832	 -0.11941719	  0.02964994	 -0.05477401	  0.03157326	  0.01833552	  0.02970290	  0.11909490	  0.02147994	 -0.10877988	  0.07774246	 -0.04710219	  0.07044275	  0.01709739	  0.06099920	  0.08512721	  0.04451856	  0.15614022	  0.06646321	 -0.00021618	 -0.03747771	   5.713
wing1009	C:\Waiting_Wings\MariaPesevski\E39\2X_C\mp_e39_f15_5_f_r_17.tif	98.5	86.5	85.5	119	mp	10_10_2018	14:36:0	dmel	0.0123	f	 -0.05230547	 -0.11487961	 -0.21282782	 -0.03448119	 -0.23154638	  0.01687542	 -0.15135338	  0.08813116	  0.12195562	  0.06406679	  0.19759717	  0.05404694	  0.00292407	 -0.06052681	 -0.00158982	 -0.01732415	  0.08238569	  0.00147059	  0.08075376	  0.02071791	  0.15498421	  0.02308238	  0.17028339	 -0.00525467	  0.19649920	 -0.02318800	  0.18070836	 -0.07366582	  0.14522451	 -0.10800093	  0.09634205	 -0.12285435	  0.04540846	 -0.12734160	 -0.00522248	 -0.12366483	 -0.09611137	 -0.10311906	 -0.13974596	 -0.08655552	 -0.18179485	 -0.06246307	 -0.22895935	 -0.00903012	 -0.21496082	  0.04768639	 -0.18613776	  0.07150458	 -0.10081175	  0.09905448	 -0.05340197	  0.10055613	 -0.00442137	  0.09625332	  0.05782787	  0.08613961	  0.15568340	  0.03781498	  0.19724999	  0.02962491	 -0.02849691	 -0.08217272	  0.05532717	 -0.03959084	  0.11155170	 -0.02138887	 -0.14830178	 -0.02291597	 -0.07996531	 -0.01800857	  0.04169817	 -0.01033082	  0.14050377	  0.00531646	 -0.17512370	  0.02526210	 -0.12121284	  0.02996959	 -0.05726110	  0.03133311	  0.01503322	  0.02978519	  0.11480285	  0.02174291	 -0.10421911	  0.07838545	 -0.04495136	  0.07155803	  0.01646048	  0.06145546	  0.08194347	  0.04656356	  0.15723278	  0.06763312	  0.00034132	 -0.03927304	   5.665
